"order_id";"order_date";"total_amount";"user_id";"user_name";"user_city";"membership";"restaurant_id";"restaurant_name";"cuisine"
1;"18-02-2023";842.97;2508;"User_2508";"Hyderabad";"Regular";450;"Restaurant_450";"Mexican"
2;"18-01-2023";546.68;2693;"User_2693";"Pune";"Regular";309;"Restaurant_309";"Indian"
3;"15-07-2023";163.93;2084;"User_2084";"Chennai";"Gold";107;"Restaurant_107";"Mexican"
4;"04-10-2023";1155.97;319;"User_319";"Bangalore";"Gold";224;"Restaurant_224";"Chinese"
5;"25-12-2023";1321.91;1064;"User_1064";"Pune";"Regular";293;"Restaurant_293";"Italian"
6;"12-07-2023";1497.22;2933;"User_2933";"Chennai";"Regular";499;"Restaurant_499";"Mexican"
7;"30-05-2023";129.21;970;"User_970";"Bangalore";"Regular";35;"Restaurant_35";"Chinese"
8;"07-11-2023";269.19;891;"User_891";"Pune";"Regular";57;"Restaurant_57";"Mexican"
9;"05-12-2023";953.3;364;"User_364";"Chennai";"Gold";7;"Restaurant_7";"Italian"
10;"30-12-2023";351.41;2972;"User_2972";"Bangalore";"Regular";183;"Restaurant_183";"Chinese"
11;"10-12-2023";523.82;924;"User_924";"Chennai";"Regular";235;"Restaurant_235";"Italian"
12;"27-10-2023";1484.65;884;"User_884";"Pune";"Gold";423;"Restaurant_423";"Indian"
13;"11-08-2023";216.59;1958;"User_1958";"Chennai";"Regular";244;"Restaurant_244";"Italian"
14;"24-09-2023";898.24;364;"User_364";"Chennai";"Gold";112;"Restaurant_112";"Chinese"
15;"17-07-2023";1098.41;1733;"User_1733";"Pune";"Regular";383;"Restaurant_383";"Indian"
16;"17-07-2023";475.74;1321;"User_1321";"Pune";"Gold";149;"Restaurant_149";"Mexican"
17;"09-04-2023";1002.51;1896;"User_1896";"Pune";"Regular";421;"Restaurant_421";"Indian"
18;"23-04-2023";736.89;1617;"User_1617";"Pune";"Gold";414;"Restaurant_414";"Chinese"
19;"27-12-2023";392.59;330;"User_330";"Chennai";"Regular";73;"Restaurant_73";"Mexican"
20;"03-02-2023";362.01;2567;"User_2567";"Bangalore";"Gold";52;"Restaurant_52";"Mexican"
21;"13-08-2023";743.68;1610;"User_1610";"Pune";"Regular";186;"Restaurant_186";"Indian"
22;"12-07-2023";507.82;688;"User_688";"Hyderabad";"Gold";279;"Restaurant_279";"Italian"
23;"14-06-2023";1025.36;2640;"User_2640";"Bangalore";"Gold";83;"Restaurant_83";"Chinese"
24;"22-01-2023";412.5;2403;"User_2403";"Pune";"Gold";434;"Restaurant_434";"Italian"
25;"07-06-2023";147.9;288;"User_288";"Pune";"Regular";18;"Restaurant_18";"Italian"
26;"24-12-2023";933.31;2915;"User_2915";"Chennai";"Gold";129;"Restaurant_129";"Indian"
27;"08-08-2023";678.38;1056;"User_1056";"Bangalore";"Regular";399;"Restaurant_399";"Chinese"
28;"23-03-2023";900.74;2370;"User_2370";"Bangalore";"Regular";63;"Restaurant_63";"Italian"
29;"20-09-2023";903.0;2905;"User_2905";"Pune";"Gold";115;"Restaurant_115";"Chinese"
30;"23-04-2023";996.26;2009;"User_2009";"Chennai";"Gold";18;"Restaurant_18";"Italian"
31;"03-04-2023";199.16;1986;"User_1986";"Bangalore";"Regular";190;"Restaurant_190";"Chinese"
32;"26-01-2023";741.1;1407;"User_1407";"Pune";"Gold";93;"Restaurant_93";"Chinese"
33;"04-07-2023";957.07;1761;"User_1761";"Bangalore";"Gold";346;"Restaurant_346";"Indian"
34;"15-06-2023";455.96;844;"User_844";"Chennai";"Gold";350;"Restaurant_350";"Mexican"
35;"15-05-2023";121.81;2858;"User_2858";"Hyderabad";"Regular";291;"Restaurant_291";"Mexican"
36;"12-09-2023";140.83;186;"User_186";"Chennai";"Regular";113;"Restaurant_113";"Chinese"
37;"01-02-2023";1198.64;952;"User_952";"Chennai";"Gold";34;"Restaurant_34";"Chinese"
38;"11-01-2023";751.82;2972;"User_2972";"Bangalore";"Regular";376;"Restaurant_376";"Indian"
39;"23-02-2023";596.06;118;"User_118";"Pune";"Regular";170;"Restaurant_170";"Mexican"
40;"25-07-2023";622.5;2773;"User_2773";"Pune";"Gold";63;"Restaurant_63";"Italian"
41;"09-01-2023";753.16;1071;"User_1071";"Hyderabad";"Gold";145;"Restaurant_145";"Italian"
42;"21-01-2023";955.51;2274;"User_2274";"Chennai";"Regular";121;"Restaurant_121";"Indian"
43;"26-03-2023";850.52;380;"User_380";"Bangalore";"Regular";256;"Restaurant_256";"Italian"
44;"04-12-2023";512.14;633;"User_633";"Pune";"Gold";161;"Restaurant_161";"Mexican"
45;"13-09-2023";914.87;1146;"User_1146";"Pune";"Gold";426;"Restaurant_426";"Chinese"
46;"25-12-2023";602.82;2294;"User_2294";"Pune";"Regular";72;"Restaurant_72";"Mexican"
47;"30-09-2023";929.24;505;"User_505";"Hyderabad";"Gold";69;"Restaurant_69";"Chinese"
48;"30-11-2023";957.14;372;"User_372";"Chennai";"Regular";397;"Restaurant_397";"Indian"
49;"10-02-2023";183.82;2911;"User_2911";"Pune";"Regular";234;"Restaurant_234";"Chinese"
50;"26-09-2023";298.54;1673;"User_1673";"Chennai";"Regular";118;"Restaurant_118";"Mexican"
51;"10-05-2023";893.66;1853;"User_1853";"Hyderabad";"Gold";381;"Restaurant_381";"Italian"
52;"18-08-2023";1423.59;799;"User_799";"Chennai";"Regular";462;"Restaurant_462";"Italian"
53;"14-12-2023";261.16;638;"User_638";"Hyderabad";"Regular";262;"Restaurant_262";"Chinese"
54;"06-09-2023";334.11;1042;"User_1042";"Pune";"Gold";266;"Restaurant_266";"Italian"
55;"08-06-2023";838.38;2610;"User_2610";"Pune";"Regular";172;"Restaurant_172";"Italian"
56;"20-10-2023";1499.8;2560;"User_2560";"Pune";"Gold";215;"Restaurant_215";"Mexican"
57;"16-06-2023";852.11;392;"User_392";"Chennai";"Regular";273;"Restaurant_273";"Indian"
58;"22-02-2023";1281.55;606;"User_606";"Hyderabad";"Gold";361;"Restaurant_361";"Indian"
59;"07-11-2023";169.22;1785;"User_1785";"Bangalore";"Gold";247;"Restaurant_247";"Mexican"
60;"10-04-2023";544.55;1077;"User_1077";"Chennai";"Regular";373;"Restaurant_373";"Indian"
61;"30-08-2023";1134.71;1753;"User_1753";"Hyderabad";"Gold";130;"Restaurant_130";"Indian"
62;"24-11-2023";722.78;723;"User_723";"Bangalore";"Gold";165;"Restaurant_165";"Mexican"
63;"27-07-2023";1107.3;205;"User_205";"Pune";"Gold";339;"Restaurant_339";"Indian"
64;"09-03-2023";625.41;1565;"User_1565";"Pune";"Regular";189;"Restaurant_189";"Indian"
65;"07-04-2023";881.86;2905;"User_2905";"Pune";"Gold";220;"Restaurant_220";"Mexican"
66;"12-08-2023";1356.31;340;"User_340";"Chennai";"Regular";70;"Restaurant_70";"Chinese"
67;"07-08-2023";781.02;2716;"User_2716";"Pune";"Regular";233;"Restaurant_233";"Italian"
68;"19-04-2023";165.97;850;"User_850";"Chennai";"Regular";292;"Restaurant_292";"Mexican"
69;"10-07-2023";1377.54;929;"User_929";"Chennai";"Gold";162;"Restaurant_162";"Italian"
70;"23-09-2023";890.18;179;"User_179";"Bangalore";"Regular";463;"Restaurant_463";"Chinese"
71;"18-05-2023";1401.97;773;"User_773";"Pune";"Gold";256;"Restaurant_256";"Italian"
72;"28-11-2023";575.36;204;"User_204";"Bangalore";"Regular";413;"Restaurant_413";"Italian"
73;"19-04-2023";765.76;1725;"User_1725";"Bangalore";"Gold";80;"Restaurant_80";"Italian"
74;"01-12-2023";1223.01;1284;"User_1284";"Chennai";"Regular";229;"Restaurant_229";"Italian"
75;"22-08-2023";700.31;849;"User_849";"Pune";"Regular";444;"Restaurant_444";"Chinese"
76;"28-08-2023";1117.61;1565;"User_1565";"Pune";"Regular";233;"Restaurant_233";"Italian"
77;"22-10-2023";851.28;1632;"User_1632";"Bangalore";"Regular";80;"Restaurant_80";"Italian"
78;"24-12-2023";271.81;2286;"User_2286";"Chennai";"Regular";432;"Restaurant_432";"Mexican"
79;"09-03-2023";1052.51;1396;"User_1396";"Pune";"Gold";242;"Restaurant_242";"Mexican"
80;"23-02-2023";1323.7;1965;"User_1965";"Hyderabad";"Gold";291;"Restaurant_291";"Mexican"
81;"18-08-2023";537.78;2320;"User_2320";"Hyderabad";"Gold";368;"Restaurant_368";"Indian"
82;"11-01-2023";1326.03;38;"User_38";"Chennai";"Gold";257;"Restaurant_257";"Italian"
83;"03-09-2023";961.02;1149;"User_1149";"Chennai";"Gold";347;"Restaurant_347";"Chinese"
84;"29-12-2023";488.53;2879;"User_2879";"Pune";"Gold";196;"Restaurant_196";"Italian"
85;"12-11-2023";1102.52;2917;"User_2917";"Bangalore";"Gold";201;"Restaurant_201";"Mexican"
86;"28-10-2023";1018.04;2563;"User_2563";"Hyderabad";"Regular";423;"Restaurant_423";"Indian"
87;"14-04-2023";1103.42;1750;"User_1750";"Pune";"Gold";385;"Restaurant_385";"Chinese"
88;"01-06-2023";196.11;58;"User_58";"Bangalore";"Regular";320;"Restaurant_320";"Italian"
89;"20-06-2023";619.05;1619;"User_1619";"Bangalore";"Regular";158;"Restaurant_158";"Indian"
90;"16-01-2023";264.05;2760;"User_2760";"Hyderabad";"Regular";320;"Restaurant_320";"Italian"
91;"07-07-2023";391.36;2309;"User_2309";"Chennai";"Gold";476;"Restaurant_476";"Mexican"
92;"07-01-2023";870.09;81;"User_81";"Chennai";"Regular";200;"Restaurant_200";"Chinese"
93;"22-01-2023";441.18;2874;"User_2874";"Hyderabad";"Regular";1;"Restaurant_1";"Chinese"
94;"10-12-2023";285.28;587;"User_587";"Chennai";"Regular";176;"Restaurant_176";"Italian"
95;"20-02-2023";795.58;570;"User_570";"Bangalore";"Gold";280;"Restaurant_280";"Chinese"
96;"17-09-2023";711.84;1048;"User_1048";"Pune";"Regular";157;"Restaurant_157";"Italian"
97;"18-09-2023";190.14;614;"User_614";"Hyderabad";"Regular";335;"Restaurant_335";"Italian"
98;"05-12-2023";1225.83;1135;"User_1135";"Bangalore";"Regular";161;"Restaurant_161";"Mexican"
99;"25-11-2023";146.68;549;"User_549";"Pune";"Gold";11;"Restaurant_11";"Chinese"
100;"15-12-2023";632.94;2811;"User_2811";"Bangalore";"Gold";484;"Restaurant_484";"Mexican"
101;"24-09-2023";852.59;1337;"User_1337";"Bangalore";"Regular";96;"Restaurant_96";"Mexican"
102;"07-03-2023";913.83;991;"User_991";"Pune";"Regular";482;"Restaurant_482";"Chinese"
103;"11-04-2023";1017.18;1922;"User_1922";"Chennai";"Gold";492;"Restaurant_492";"Italian"
104;"03-10-2023";1191.17;1115;"User_1115";"Chennai";"Regular";379;"Restaurant_379";"Mexican"
105;"01-06-2023";109.14;804;"User_804";"Bangalore";"Gold";407;"Restaurant_407";"Mexican"
106;"18-11-2023";1352.79;2873;"User_2873";"Pune";"Gold";68;"Restaurant_68";"Italian"
107;"05-03-2023";1037.09;1118;"User_1118";"Pune";"Gold";388;"Restaurant_388";"Indian"
108;"16-04-2023";1375.29;1493;"User_1493";"Chennai";"Regular";5;"Restaurant_5";"Chinese"
109;"27-05-2023";1461.82;532;"User_532";"Hyderabad";"Gold";432;"Restaurant_432";"Mexican"
110;"04-06-2023";932.09;1350;"User_1350";"Bangalore";"Gold";220;"Restaurant_220";"Mexican"
111;"30-03-2023";1346.23;1416;"User_1416";"Pune";"Regular";66;"Restaurant_66";"Italian"
112;"15-11-2023";149.76;2446;"User_2446";"Bangalore";"Gold";447;"Restaurant_447";"Chinese"
113;"13-04-2023";475.81;2265;"User_2265";"Pune";"Gold";28;"Restaurant_28";"Chinese"
114;"29-07-2023";842.42;142;"User_142";"Pune";"Regular";390;"Restaurant_390";"Mexican"
115;"17-02-2023";367.72;827;"User_827";"Chennai";"Gold";184;"Restaurant_184";"Mexican"
116;"12-03-2023";296.82;2476;"User_2476";"Pune";"Regular";319;"Restaurant_319";"Indian"
117;"07-05-2023";1485.31;1449;"User_1449";"Pune";"Gold";328;"Restaurant_328";"Mexican"
